1;126U;61015L;16150.92;388689 +;0.00000316;0;+13706-3 0;9998
2;126;66.7132;93.5729;60419;72.7381;288.0319;14.35422683;36925
1;127U;61015M;16150.81;748766 +;0.00000359;0;+14283-3 0;9991
2;127;66.8314;302.1433;81340;289.8252;69.4096;14.37845727;38154
1;128U;61015N;16150.94;359610 -;0.00000001;0;+50158-4 0;9999
2;128;66.6755;347.7154;100127;311.1998;48.0483;14.01058771;819
1;130U;61015Q;16150.93;274126 -;0.00000038;0;+27226-4 0;9999
2;130;66.7713;345.6041;88414;340.1998;19.5659;13.98591449;98155
1;131U;61015R;16150.75;023478 -;0.00000023;0;+36944-4 0;9993
2;131;66.7359;242.1569;74219;108.5688;252.3476;14.00510217;89330
1;132U;61015S;16150.93;357111 -;0.00000052;0;+19231-4 0;9990
2;132;66.6616;38.8911;70963;149.9721;210.5457;13.94244094;91951
1;133U;61015T;16150.96;004628 +;0.00000312;0;+18962-3 0;9993
2;133;67.1153;130.9974;55352;188.2412;171.778;14.17544525;12718
1;134U;61015U;16150.92;360549 -;0.00000021;0;+39638-4 0;9999
2;134;66.8813;72.2966;87281;314.4671;44.9296;13.96675532;93027
1;138U;61015Y;16150.93;388512 +;0.00000071;0;+97428-4 0;9999
2;138;67.1547;103.6796;24747;114.513;245.8541;14.01184023;88257
1;141U;61015AB;16150.82;253830 +;0.0000013;0;+17617-3 0;9992
2;141;66.5904;29.0324;63741;280.8543;78.5363;13.86464577;62804
1;144U;61015AE;16150.94;035920 +;0.00000083;0;+13050-3 0;9990
2;144;66.5004;91.9798;43239;192.6337;167.3659;13.89793368;74424
1;147U;61015AH;16150.92;509955 +;0.00000335;0;+20060-3 0;9994
2;147;66.6187;117.5831;47346;112.6414;247.9695;14.18426194;13325
1;148U;61015AJ;16150.9;839645 +;0.00000449;0;+30260-3 0;9994
2;148;65.7766;342.1898;146065;20.2009;340.4765;14.04964159;42743
1;152U;61015AN;16150.78;527134 +;0.00000078;0;+83233-4 0;9999
2;152;66.5951;288.2957;153010;170.3408;190.0682;14.08916659;8231
1;154U;61015AQ;16150.93;385641 +;0.00000083;0;+99665-4 0;9995
2;154;66.6596;20.1665;83548;7.0076;353.2154;14.04181914;1103
1;155U;61015AR;16150.68;872135 +;0.0000063;0;+23195-3 0;9999
2;155;66.8811;259.5207;52861;228.604;131.0514;14.38120135;32013
1;159U;61015AV;16150.89;010383 +;0.0000024;0;+73019-3 0;9992
2;159;65.5273;59.7965;362596;116.5179;247.3501;13.01829515;2922
1;162U;61017A;16150.94;032064 -;0.00000087;0;+22030-4 0;9992
2;162;47.899;114.3275;45348;329.8296;29.9986;14.43929414;61259
1;163U;61018A;16150.88;011720 +;0.00000004;0;+11226-2 0;9994
2;163;91.187;41.6398;99085;223.0327;136.2764;8.918325367;86789
1;172U;61015AY;16150.72;227666 +;0.00000014;0;+10913-3 0;9996
2;172;67.0692;271.4097;131589;151.1417;209.7007;13.57075196;6796
1;177U;61015BB;16150.55;487528 +;0.00000242;0;+16270-3 0;9992
2;177;66.6652;208.0324;112137;135.8239;225.1873;14.1330756;22371
1;178U;61015BC;16150.93;247357 -;0.00000017;0;+45522-4 0;9993
2;178;66.8656;323.7121;73029;91.8268;269.1178;13.92247143;86245
1;188U;61018C;16150.67;377233 -;0.00000007;0;-28802-2 0;9995
2;188;91.1853;44.142;114828;98.3198;263.0714;8.937986937;90251
1;192U;61028A;16150.9;287732 -;0.00000002;0;+69755-3 0;9998
2;192;95.83;171.5938;138894;319.7629;39.3011;8.677576777;29783
1;195U;61028D;16150.45;326660 +;0.00000003;0;+27572-2 0;9995
2;195;95.8405;155.6424;159938;34.0961;327.0047;8.656145527;25417
