FENGYUN;1C;;;;;;;
2;29837;98.4557;222.0339;83366;320.3933;164.0504;14.99201116;
FENGYUN;1C;DEB;;;;;;
1;29840U;99025EJ;16152.18715;0.00002811;00000-0;48786-3;0;9998
2;29840;99.0033;36.7009;103778;277.3961;81.5456;14.65705151;
FENGYUN;1C;DEB;;;;;;
1;29841U;99025EK;16151.37387;0.0000035;00000-0;99738-4;0;9998
2;29841;98.8392;284.9823;219803;240.5907;179.355;14.39183186;
FENGYUN;1C;DEB;;;;;;
1;29842U;99025EL;16151.87712;0.00000682;00000-0;20448-3;0;9992
2;29842;98.647;114.2326;143892;185.4278;201.7258;14.40324525;
FENGYUN;1C;DEB;;;;;;
1;29843U;99025EM;16151.23253;0.00000253;00000-0;10715-3;0;9991
2;29843;98.8081;243.82;203547;276.8538;134.9097;14.23916457;
FENGYUN;1C;DEB;;;;;;
1;29844U;99025EN;16151.50169;0.00000392;00000-0;15757-3;0;9996
2;29844;98.9091;260.3377;185666;146.0576;215.2647;14.24803847;
FENGYUN;1C;DEB;;;;;;
1;29845U;99025EP;16152.10546;0.00000255;00000-0;13225-3;0;9999
2;29845;98.7584;184.4604;85307;154.4317;273.2344;14.21219564;
FENGYUN;1C;DEB;;;;;;
1;29846U;99025EQ;16151.9545;0.00000085;00000-0;61867-4;0;9998
2;29846;98.9864;148.4274;86520;176.6545;236.9202;14.17526975;
FENGYUN;1C;DEB;;;;;;
1;29847U;99025ER;16151.55743;-0.00000087;00000-0;-27362;0;9998
2;29847;99.0274;174.49;87247;358.9764;120.0938;14.01187378;
FENGYUN;1C;DEB;;;;;;
1;29848U;99025ES;16151.87048;0.00000795;00000-0;45656-3;0;9992
2;29848;98.3121;243.1084;136934;222.5655;257.0596;14.07289124;
FENGYUN;1C;DEB;;;;;;
1;29849U;99025ET;16152.12826;0.00000914;00000-0;67563-3;0;9994
2;29849;99.2011;217.0525;91512;262.7882;158.2831;13.96034076;
FENGYUN;1C;DEB;;;;;;
1;29850U;99025EU;16151.39727;0.00000592;00000-0;47529-3;0;9992
2;29850;98.1147;98.7887;113693;339.7393;135.1639;13.91048275;
FENGYUN;1C;DEB;;;;;;
1;29851U;99025EV;16151.82134;0.00000144;00000-0;16318-3;0;9998
2;29851;99.378;94.3125;146240;44.7121;8.4767;13.81508443;
FENGYUN;1C;DEB;;;;;;
1;29852U;99025EW;16151.42076;0.00000907;00000-0;68831-3;0;9995
2;29852;99.1895;88.3785;156900;257.3674;216.3524;13.90910819;
FENGYUN;1C;DEB;;;;;;
1;29853U;99025EX;16151.63993;0.00000286;00000-0;24750-3;0;9996
2;29853;98.4272;198.6095;176683;103.3724;258.7198;13.86094466;
FENGYUN;1C;DEB;;;;;;
1;29854U;99025EY;16151.56801;0.00000062;00000-0;90367-4;0;9991
2;29854;99.1617;59.6784;151009;28.3034;92.914;13.81213523;
FENGYUN;1C;DEB;;;;;;
1;29855U;99025EZ;16151.85441;0.00000917;00000-0;66921-3;0;9998
2;29855;98.1843;98.8147;222265;40.4161;17.2307;13.87033309;
FENGYUN;1C;DEB;;;;;;
1;29856U;99025FA;16151.90669;0.00002585;00000-0;77948-3;0;9990
2;29856;98.6843;292.3885;445586;92.656;28.042;13.98422195;
FENGYUN;1C;DEB;;;;;;
1;29857U;99025FB;16150.95683;0.00000482;00000-0;47884-3;0;9992
2;29857;98.4396;136.9412;209036;334.5307;24.5658;13.73324111;
FENGYUN;1C;DEB;;;;;;
1;29858U;99025FC;16151.59569;0.0000058;00000-0;60513-3;0;9992
2;29858;99.1073;8.3687;213765;215.1287;170.754;13.69766102;
FENGYUN;1C;DEB;;;;;;
